Telecom Circle name,srcYear,srcMonth,Service provider,Wireless subscribers,Proportion of VLR on a peak day,Wireline subscribers,srcStateName
North East,2021,Apr-2021,Reliance Com.,0,,,Assam
North East,2021,Apr-2021,Reliance Jio,2937493.31958215,58.631226786,26332.920169875,Assam
North East,2021,Apr-2021,Vodafone Idea,938351.197444419,59.39479625112,224.98028883,Assam
Bihar,2021,Apr-2021,BSNL,4363932.85598552,37.19367526716,98456.169057552,Bihar
Bihar,2021,Apr-2021,Bharti,,76.8097234233,,Bihar
Bihar,2021,Apr-2021,Bharti Airtel (including Tata Tele.),27443152.0642704,,,Bihar
Bihar,2021,Apr-2021,Reliance Com.,116.942139468,82.6188621696,14.427926298,Bihar
Bihar,2021,Apr-2021,Reliance Jio,24804153.733665,70.43865491592,84597.766166052,Bihar
Bihar,2021,Apr-2021,Tata Tele.,,,5684.602961412,Bihar
Bihar,2021,Apr-2021,Vodafone Idea,9117972.53940362,64.83454459596,1321.29430308,Bihar
Punjab,2021,Apr-2021,BSNL,205793.400985938,1.52877596806,8009.738268068,Chandigarh
Punjab,2021,Apr-2021,Bharti,,3.65858427768,,Chandigarh
Punjab,2021,Apr-2021,Bharti Airtel,,,5700.202369628,Chandigarh
Punjab,2021,Apr-2021,Bharti Airtel (including Tata Tele.),421201.172892759,,,Chandigarh
Punjab,2021,Apr-2021,Quadrant,,,7723.847702694,Chandigarh
Punjab,2021,Apr-2021,Reliance Com.,12.333532917,1.41671909082,72.327620764,Chandigarh
Punjab,2021,Apr-2021,Reliance Jio,474023.038482751,2.36010702161,3648.178996222,Chandigarh
Punjab,2021,Apr-2021,Tata Tele.,,,455.103726427,Chandigarh
Punjab,2021,Apr-2021,Vodafone Idea,317272.166609268,3.25474293438,79.131074025,Chandigarh
Madhya Pradesh,2021,Apr-2021,BSNL,1615938.70558202,11.4647898145,64247.318627525,Chhattisgarh
Madhya Pradesh,2021,Apr-2021,Bharti,,24.94099191375,,Chhattisgarh
Madhya Pradesh,2021,Apr-2021,Bharti Airtel,,,71012.741577525,Chhattisgarh
Madhya Pradesh,2021,Apr-2021,Bharti Airtel (including Tata Tele.),4023509.4384694,,,Chhattisgarh
Madhya Pradesh,2021,Apr-2021,Reliance Com.,89.5117498,25.5680945795,1.301042875,Chhattisgarh
Madhya Pradesh,2021,Apr-2021,Reliance Jio,9120925.42661273,22.41696873625,49153.660026075,Chhattisgarh
Madhya Pradesh,2021,Apr-2021,Tata Tele.,,,2951.025449075,Chhattisgarh
Madhya Pradesh,2021,Apr-2021,Vodafone Idea,5589709.53514875,22.409162479,614.092237,Chhattisgarh
Gujarat,2021,Apr-2021,BSNL,33206.955144339,0.29078599419,2511.026892033,Dadra and Nagar Haveli
Gujarat,2021,Apr-2021,Bharti,,0.53533234065,,Dadra and Nagar Haveli
Gujarat,2021,Apr-2021,Bharti Airtel,,,701.192436387,Dadra and Nagar Haveli
Gujarat,2021,Apr-2021,Bharti Airtel (including Tata Tele.),68541.823958112,,,Dadra and Nagar Haveli
Gujarat,2021,Apr-2021,Reliance Com.,1.086997809,0.44358521988,23.587289244,Dadra and Nagar Haveli
Gujarat,2021,Apr-2021,Reliance Jio,149316.878957874,0.42871644156,1376.831976093,Dadra and Nagar Haveli
Gujarat,2021,Apr-2021,Tata Tele.,,,448.130335071,Dadra and Nagar Haveli
Gujarat,2021,Apr-2021,Vodafone Idea,141774.471502647,0.51257860413,223.454083275,Dadra and Nagar Haveli
Gujarat,2021,Apr-2021,BSNL,23500.960901742,0.20579273982,1777.083883674,Daman and Diu
Gujarat,2021,Apr-2021,Bharti,,0.3788611257,,Daman and Diu
Gujarat,2021,Apr-2021,Bharti Airtel,,,496.242307086,Daman and Diu
Gujarat,2021,Apr-2021,Bharti Airtel (including Tata Tele.),48507.871859136,,,Daman and Diu
Gujarat,2021,Apr-2021,Reliance Com.,0.769281402,0.31393058664,16.693007832,Daman and Diu
Gujarat,2021,Apr-2021,Reliance Jio,105673.348221972,0.30340777368,974.400522354,Daman and Diu
Gujarat,2021,Apr-2021,Tata Tele.,,,317.147219238,Daman and Diu
Gujarat,2021,Apr-2021,Vodafone Idea,100335.495897366,0.36275803314,158.14113795,Daman and Diu
Delhi,2021,Apr-2021,Bharti,,88.36,,Delhi
Delhi,2021,Apr-2021,Bharti Airtel,,,1566713,Delhi
Delhi,2021,Apr-2021,Bharti Airtel (including Tata Tele.),16341350,,,Delhi
Delhi,2021,Apr-2021,MTNL,2160448,12.19,1316203,Delhi
Delhi,2021,Apr-2021,Reliance Com.,443,78.76,33359,Delhi
Delhi,2021,Apr-2021,Reliance Jio,19911558,64.38,436986,Delhi
Delhi,2021,Apr-2021,Tata Tele.,,,137638,Delhi
Delhi,2021,Apr-2021,Vodafone Idea,16132680,74.72,86309,Delhi
Gujarat,2021,Apr-2021,BSNL,5839295.07805792,51.13342121436,441552.888778452,Gujarat
Gujarat,2021,Apr-2021,Bharti,,94.1358064386,,Gujarat
Gujarat,2021,Apr-2021,Bharti Airtel,,,123301.565132028,Gujarat
Gujarat,2021,Apr-2021,Bharti Airtel (including Tata Tele.),12052774.2920129,,,Gujarat
Gujarat,2021,Apr-2021,Reliance Com.,191.143720596,78.00248411472,4147.719698736,Gujarat
Gujarat,2021,Apr-2021,Reliance Jio,26256707.7463085,75.38787570864,242109.767257092,Gujarat
Gujarat,2021,Apr-2021,Tata Tele.,,,78801.722366124,Gujarat
Gujarat,2021,Apr-2021,Vodafone Idea,24930409.0074275,90.13466327172,39293.4047391,Gujarat
Haryana,2021,Apr-2021,BSNL,5013897,36.03,123560,Haryana
Haryana,2021,Apr-2021,Bharti,,105.89,,Haryana
Haryana,2021,Apr-2021,Bharti Airtel,,,31932,Haryana
Haryana,2021,Apr-2021,Bharti Airtel (including Tata Tele.),5578327,,,Haryana
Haryana,2021,Apr-2021,Reliance Com.,72,79.17,2,Haryana
Haryana,2021,Apr-2021,Reliance Jio,9193650,67.36,39178,Haryana
Haryana,2021,Apr-2021,Tata Tele.,,,35126,Haryana
Haryana,2021,Apr-2021,Vodafone Idea,8241187,89.66,360,Haryana
Punjab,2021,Apr-2021,BSNL,41210.34843753,0.3061390211,1603.95864658,Haryana
Punjab,2021,Apr-2021,Bharti,,0.7326354108,,Haryana
Punjab,2021,Apr-2021,Bharti Airtel,,,1141.47161518,Haryana
Punjab,2021,Apr-2021,Bharti Airtel (including Tata Tele.),84345.984924915,,,Haryana
Punjab,2021,Apr-2021,Quadrant,,,1546.70875539,Haryana
Punjab,2021,Apr-2021,Reliance Com.,2.469803145,0.2836995117,14.48368334,Haryana
Punjab,2021,Apr-2021,Reliance Jio,94923.619949435,0.47261395285,730.55174207,Haryana
Punjab,2021,Apr-2021,Tata Tele.,,,91.135007495,Haryana
Punjab,2021,Apr-2021,Vodafone Idea,63534.09036858,0.6517657503,15.846082125,Haryana
Himachal Pradesh,2021,Apr-2021,BSNL,3012651,35.79,73834,Himachal Pradesh
Himachal Pradesh,2021,Apr-2021,Bharti,,102.68,,Himachal Pradesh
Himachal Pradesh,2021,Apr-2021,Bharti Airtel,,,0,Himachal Pradesh
Himachal Pradesh,2021,Apr-2021,Bharti Airtel (including Tata Tele.),3300897,,,Himachal Pradesh
Himachal Pradesh,2021,Apr-2021,Reliance Com.,96,32.29,3,Himachal Pradesh
Himachal Pradesh,2021,Apr-2021,Reliance Jio,4180766,69.05,13224,Himachal Pradesh
Himachal Pradesh,2021,Apr-2021,Tata Tele.,,,1673,Himachal Pradesh
Himachal Pradesh,2021,Apr-2021,Vodafone Idea,663238,101.51,30,Himachal Pradesh
Jammu and Kashmir,2021,Apr-2021,BSNL,1245096.64594152,54.2087205288,82061.3606778,Jammu and Kashmir
Jammu and Kashmir,2021,Apr-2021,Bharti,,93.8235379488,,Jammu and Kashmir
Jammu and Kashmir,2021,Apr-2021,Bharti Airtel,,,16503.23949408,Jammu and Kashmir
Jammu and Kashmir,2021,Apr-2021,Bharti Airtel (including Tata Tele.),5410148.66415468,,,Jammu and Kashmir
Jammu and Kashmir,2021,Apr-2021,Reliance Com.,0,,0,Jammu and Kashmir
Jammu and Kashmir,2021,Apr-2021,Reliance Jio,4544921.92595628,76.1289195012,84085.13986896,Jammu and Kashmir
Jammu and Kashmir,2021,Apr-2021,Tata Tele.,,,0,Jammu and Kashmir
Jammu and Kashmir,2021,Apr-2021,Vodafone Idea,487968.47397408,83.4552153648,0,Jammu and Kashmir
Bihar,2021,Apr-2021,BSNL,1382889.14401448,11.78632473284,31199.830942448,Jharkhand
Bihar,2021,Apr-2021,Bharti,,24.3402765767,,Jharkhand
Bihar,2021,Apr-2021,Bharti Airtel (including Tata Tele.),8696475.93572962,,,Jharkhand
Bihar,2021,Apr-2021,Reliance Com.,37.057860532,26.1811378304,4.572073702,Jharkhand
Bihar,2021,Apr-2021,Reliance Jio,7860202.26633505,22.32134508408,26808.233833948,Jharkhand
Bihar,2021,Apr-2021,Tata Tele.,,,1801.397038588,Jharkhand
Bihar,2021,Apr-2021,Vodafone Idea,2889399.46059638,20.54545540404,418.70569692,Jharkhand
Karnataka,2021,Apr-2021,BSNL,7152543,51.36,719529,Karnataka
Karnataka,2021,Apr-2021,Bharti,,93.43,,Karnataka
Karnataka,2021,Apr-2021,Bharti Airtel,,,796810,Karnataka
Karnataka,2021,Apr-2021,Bharti Airtel (including Tata Tele.),30372948,,,Karnataka
Karnataka,2021,Apr-2021,Reliance Com.,1757,80.19,25557,Karnataka
Karnataka,2021,Apr-2021,Reliance Jio,21797029,74.59,272502,Karnataka
Karnataka,2021,Apr-2021,Tata Tele.,,,249066,Karnataka
Karnataka,2021,Apr-2021,Vodafone Idea,9094320,86.71,88462,Karnataka
Kerala,2021,Apr-2021,BSNL,10867138.6544908,66.72122945215,1015032.00989935,Kerala
Kerala,2021,Apr-2021,Bharti,,101.69373326671,,Kerala
Kerala,2021,Apr-2021,Bharti Airtel,,,67465.792461444,Kerala
Kerala,2021,Apr-2021,Bharti Airtel (including Tata Tele.),6800422.33014223,,,Kerala
Kerala,2021,Apr-2021,Reliance Com.,447.137035072,50.79197257771,5455.471057374,Kerala
Kerala,2021,Apr-2021,Reliance Jio,10319457.6670994,70.43406376123,75212.840823562,Kerala
Kerala,2021,Apr-2021,Tata Tele.,,,18974.379852129,Kerala
Kerala,2021,Apr-2021,Vodafone Idea,17185735.8967621,93.36979828345,8403.78088238,Kerala
Jammu and Kashmir,2021,Apr-2021,BSNL,27821.35405848,1.2112794712,1833.6393222,Ladakh
Jammu and Kashmir,2021,Apr-2021,Bharti,,2.0964620512,,Ladakh
Jammu and Kashmir,2021,Apr-2021,Bharti Airtel,,,368.76050592,Ladakh
Jammu and Kashmir,2021,Apr-2021,Bharti Airtel (including Tata Tele.),120888.33584532,,,Ladakh
Jammu and Kashmir,2021,Apr-2021,Reliance Com.,0,,0,Ladakh
Jammu and Kashmir,2021,Apr-2021,Reliance Jio,101555.07404372,1.7010804988,1878.86013104,Ladakh
Jammu and Kashmir,2021,Apr-2021,Tata Tele.,,,0,Ladakh
Jammu and Kashmir,2021,Apr-2021,Vodafone Idea,10903.52602592,1.8647846352,0,Ladakh
Kerala,2021,Apr-2021,BSNL,20973.345509232,0.12877054785,1958.990100651,Lakshadweep
Kerala,2021,Apr-2021,Bharti,,0.19626673329,,Lakshadweep
Kerala,2021,Apr-2021,Bharti Airtel,,,130.207538556,Lakshadweep
Kerala,2021,Apr-2021,Bharti Airtel (including Tata Tele.),13124.669857767,,,Lakshadweep
Kerala,2021,Apr-2021,Reliance Com.,0.862964928,0.09802742229,10.528942626,Lakshadweep
Kerala,2021,Apr-2021,Reliance Jio,19916.332900614,0.13593623877,145.159176438,Lakshadweep
Kerala,2021,Apr-2021,Tata Tele.,,,36.620147871,Lakshadweep
Kerala,2021,Apr-2021,Vodafone Idea,33168.103237944,0.18020171655,16.21911762,Lakshadweep
Madhya Pradesh,2021,Apr-2021,BSNL,4594228.29441797,32.5952101855,182659.681372475,Madhya Pradesh
Madhya Pradesh,2021,Apr-2021,Bharti,,70.90900808625,,Madhya Pradesh
Madhya Pradesh,2021,Apr-2021,Bharti Airtel,,,201894.258422475,Madhya Pradesh
Madhya Pradesh,2021,Apr-2021,Bharti Airtel (including Tata Tele.),11439122.5615306,,,Madhya Pradesh
Madhya Pradesh,2021,Apr-2021,Reliance Com.,254.4882502,72.6919054205,3.698957125,Madhya Pradesh
Madhya Pradesh,2021,Apr-2021,Reliance Jio,25931437.5733873,63.73303126375,139747.339973925,Madhya Pradesh
Madhya Pradesh,2021,Apr-2021,Tata Tele.,,,8389.974550925,Madhya Pradesh
Madhya Pradesh,2021,Apr-2021,Vodafone Idea,15891940.4648512,63.710837521,1745.907763,Madhya Pradesh
Maharashtra,2021,Apr-2021,BSNL,3371727.5,29.389999999999997,369984.5,Maharashtra
Maharashtra,2021,Apr-2021,Bharti,,49.935,,Maharashtra
Maharashtra,2021,Apr-2021,Bharti Airtel,,,82504.5,Maharashtra
Maharashtra,2021,Apr-2021,Bharti Airtel (including Tata Tele.),9675828.499999983,,,Maharashtra
Maharashtra,2021,Apr-2021,Reliance Com.,190,57.765,6144.5,Maharashtra
Maharashtra,2021,Apr-2021,Reliance Jio,18412119.00000002,41.57,51987,Maharashtra
Maharashtra,2021,Apr-2021,Tata Tele.,,,112030,Maharashtra
Maharashtra,2021,Apr-2021,Vodafone Idea,15912182.000000015,48.085,13702.5,Maharashtra
Mumbai,2021,Apr-2021,Bharti,,74.4,,Maharashtra
Mumbai,2021,Apr-2021,Bharti Airtel,,,407584,Maharashtra
Mumbai,2021,Apr-2021,Bharti Airtel (including Tata Tele.),9673482,,,Maharashtra
Mumbai,2021,Apr-2021,MTNL,1132808,32.41,1573218,Maharashtra
Mumbai,2021,Apr-2021,Reliance Com.,861,103.25,63108,Maharashtra
Mumbai,2021,Apr-2021,Reliance Jio,15165457,54.2,408398,Maharashtra
Mumbai,2021,Apr-2021,Tata Tele.,,,487181,Maharashtra
Mumbai,2021,Apr-2021,Vodafone Idea,11165679,75.17,108195,Maharashtra
North East,2021,Apr-2021,BSNL,84403.926608016,4.10348685036,4130.564747472,Manipur
North East,2021,Apr-2021,Bharti,,6.50680619772,,Manipur
North East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),339096.630316512,,,Manipur
North East,2021,Apr-2021,Reliance Com.,0,,,Manipur
North East,2021,Apr-2021,Reliance Jio,268826.180563068,5.365666248,2409.8704515,Manipur
North East,2021,Apr-2021,Vodafone Idea,85873.682419692,5.43554469216,20.58918444,Manipur
North East,2021,Apr-2021,BSNL,87687.375844764,4.26311912469,4291.250395788,Meghalaya
North East,2021,Apr-2021,Bharti,,6.75993148113,,Meghalaya
North East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),352288.037597448,,,Meghalaya
North East,2021,Apr-2021,Reliance Com.,0,,,Meghalaya
North East,2021,Apr-2021,Reliance Jio,279283.953712497,5.574399342,2503.618309125,Meghalaya
North East,2021,Apr-2021,Vodafone Idea,89214.307534293,5.64699617064,21.39013701,Meghalaya
North East,2021,Apr-2021,BSNL,32428.282155428,1.57657391963,1586.977341876,Mizoram
North East,2021,Apr-2021,Bharti,,2.49993757151,,Mizoram
North East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),130282.104728696,,,Mizoram
North East,2021,Apr-2021,Reliance Com.,0,,,Mizoram
North East,2021,Apr-2021,Reliance Jio,103283.953536319,2.061507634,925.880608875,Mizoram
North East,2021,Apr-2021,Vodafone Idea,32992.967450011,2.08835517528,7.91043627,Mizoram
North East,2021,Apr-2021,BSNL,58475.274349384,2.84290706614,2861.666708328,Nagaland
North East,2021,Apr-2021,Bharti,,4.50793337278,,Nagaland
North East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),234927.085570288,,,Nagaland
North East,2021,Apr-2021,Reliance Com.,0,,,Nagaland
North East,2021,Apr-2021,Reliance Jio,186243.523168382,3.717348452,1669.56492975,Nagaland
North East,2021,Apr-2021,Vodafone Idea,59493.525250358,3.76576043184,14.26424406,Nagaland
Odisha,2021,Apr-2021,BSNL,6391505,59.98,145268,Orissa
Odisha,2021,Apr-2021,Bharti,,100.84,,Orissa
Odisha,2021,Apr-2021,Bharti Airtel (including Tata Tele.),11194259,,,Orissa
Odisha,2021,Apr-2021,Reliance Com.,191,24.61,6,Orissa
Odisha,2021,Apr-2021,Reliance Jio,14594479,76.32,54058,Orissa
Odisha,2021,Apr-2021,Tata Tele.,,,8131,Orissa
Odisha,2021,Apr-2021,Vodafone Idea,2314933,91.67,6540,Orissa
Tamil Nadu,2021,Apr-2021,BSNL,182413.452316038,1.14720907509,14406.205059714,Puducherry
Tamil Nadu,2021,Apr-2021,BSNL (VNOs),1718.314135326,,,Puducherry
Tamil Nadu,2021,Apr-2021,Bharti,,1.60374625704,,Puducherry
Tamil Nadu,2021,Apr-2021,Bharti Airtel,,,9870.537912723,Puducherry
Tamil Nadu,2021,Apr-2021,Bharti Airtel (including Tata Tele.),465437.837650596,,,Puducherry
Tamil Nadu,2021,Apr-2021,Reliance Com.,11.851263159,2.74925500743,438.139668696,Puducherry
Tamil Nadu,2021,Apr-2021,Reliance Jio,434847.619034589,1.29071647977,4990.844069181,Puducherry
Tamil Nadu,2021,Apr-2021,Tata Tele.,,,2006.519171976,Puducherry
Tamil Nadu,2021,Apr-2021,Vodafone Idea,327664.386946665,1.56395865906,609.821453655,Puducherry
Punjab,2021,Apr-2021,BSNL,5409442.25057653,40.18508501084,210542.303085352,Punjab
Punjab,2021,Apr-2021,Bharti,,96.16878031152,,Punjab
Punjab,2021,Apr-2021,Bharti Airtel,,,149834.326015192,Punjab
Punjab,2021,Apr-2021,Bharti Airtel (including Tata Tele.),11071605.8421823,,,Punjab
Punjab,2021,Apr-2021,Quadrant,,,203027.443541916,Punjab
Punjab,2021,Apr-2021,Reliance Com.,324.196663938,37.23958139748,1901.188695896,Punjab
Punjab,2021,Apr-2021,Reliance Jio,12460070.3415678,62.03727902554,95895.269261708,Punjab
Punjab,2021,Apr-2021,Tata Tele.,,,11962.761266078,Punjab
Punjab,2021,Apr-2021,Vodafone Idea,8339749.74302215,85.55349131532,2080.02284385,Punjab
Rajasthan,2021,Apr-2021,BSNL,6300409,45.44,240175,Rajasthan
Rajasthan,2021,Apr-2021,Bharti,,99.5,,Rajasthan
Rajasthan,2021,Apr-2021,Bharti Airtel,,,86055,Rajasthan
Rajasthan,2021,Apr-2021,Bharti Airtel (including Tata Tele.),21803772,,,Rajasthan
Rajasthan,2021,Apr-2021,Reliance Com.,298,49.66,4411,Rajasthan
Rajasthan,2021,Apr-2021,Reliance Jio,25830189,74.93,127835,Rajasthan
Rajasthan,2021,Apr-2021,Tata Tele.,,,11768,Rajasthan
Rajasthan,2021,Apr-2021,Vodafone Idea,12160871,91.66,9010,Rajasthan
North East,2021,Apr-2021,BSNL,18045.803206512,0.87733733652,883.126669104,Sikkim
North East,2021,Apr-2021,Bharti,,1.39117395204,,Sikkim
North East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),72499.838628384,,,Sikkim
North East,2021,Apr-2021,Reliance Com.,0,,,Sikkim
North East,2021,Apr-2021,Reliance Jio,57475.813580676,1.147194936,515.2372605,Sikkim
North East,2021,Apr-2021,Vodafone Idea,18360.041242644,1.16213514912,4.40202708,Sikkim
West Bengal,2021,Apr-2021,BSNL,16876.709929204,0.48135564068,1323.886831438,Sikkim
West Bengal,2021,Apr-2021,Bharti,,0.65890268274,,Sikkim
West Bengal,2021,Apr-2021,Bharti Airtel (including Tata Tele.),101623.254932852,,,Sikkim
West Bengal,2021,Apr-2021,Reliance Com.,6.041761066,0.13552603136,0.086027266,Sikkim
West Bengal,2021,Apr-2021,Reliance Jio,144758.662836616,0.58240459082,413.930116582,Sikkim
West Bengal,2021,Apr-2021,Tata Tele.,,,15.359175722,Sikkim
West Bengal,2021,Apr-2021,Vodafone Idea,112291.595451742,0.65069700506,0.79409784,Sikkim
Tamil Nadu,2021,Apr-2021,BSNL,10545740.547684,66.32279092491,832855.794940286,Tamil Nadu
Tamil Nadu,2021,Apr-2021,BSNL (VNOs),99339.685864674,,,Tamil Nadu
Tamil Nadu,2021,Apr-2021,Bharti,,92.71625374296,,Tamil Nadu
Tamil Nadu,2021,Apr-2021,Bharti Airtel,,,570638.462087277,Tamil Nadu
Tamil Nadu,2021,Apr-2021,Bharti Airtel (including Tata Tele.),26908030.1623494,,,Tamil Nadu
Tamil Nadu,2021,Apr-2021,Reliance Com.,685.148736841,158.94074499257,25329.860331304,Tamil Nadu
Tamil Nadu,2021,Apr-2021,Reliance Jio,25139539.3809654,74.61928352023,288532.155930819,Tamil Nadu
Tamil Nadu,2021,Apr-2021,Tata Tele.,,,116001.480828024,Tamil Nadu
Tamil Nadu,2021,Apr-2021,Vodafone Idea,18943030.6130533,90.41604134094,35255.178546345,Tamil Nadu
Telangana,2021,Apr-2021,BSNL,3976402.77110287,57.63,229855.071785306,Telangana
Telangana,2021,Apr-2021,Bharti,,96.33,,Telangana
Telangana,2021,Apr-2021,Bharti Airtel,,,111370.917178261,Telangana
Telangana,2021,Apr-2021,Bharti Airtel (including Tata Tele.),12961080.9051893,,,Telangana
Telangana,2021,Apr-2021,Reliance Com.,419.22908513834,109.48,9100.12670592988,Telangana
Telangana,2021,Apr-2021,Reliance Jio,13284799.8378956,78.95,157697.593406762,Telangana
Telangana,2021,Apr-2021,Tata Tele.,,,65705.5717276988,Telangana
Telangana,2021,Apr-2021,Vodafone Idea,6450882.37445312,90.13,23250.0394897058,Telangana
North East,2021,Apr-2021,BSNL,108583.819086428,5.27904674213,5313.881868876,Tripura
North East,2021,Apr-2021,Bharti,,8.37086490401,,Tripura
North East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),436240.452770696,,,Tripura
North East,2021,Apr-2021,Reliance Com.,0,,,Tripura
North East,2021,Apr-2021,Reliance Jio,345839.044805569,6.902813134,3100.246015125,Tripura
North East,2021,Apr-2021,Vodafone Idea,110474.628028261,6.99271023528,26.48753877,Tripura
Uttar Pradesh East,2021,Apr-2021,BSNL,11362370,36.99,157182,Uttar Pradesh
Uttar Pradesh East,2021,Apr-2021,Bharti,,106.96,,Uttar Pradesh
Uttar Pradesh East,2021,Apr-2021,Bharti Airtel,,,84389,Uttar Pradesh
Uttar Pradesh East,2021,Apr-2021,Bharti Airtel (including Tata Tele.),35688683,,,Uttar Pradesh
Uttar Pradesh East,2021,Apr-2021,Reliance Com.,389,46.02,23,Uttar Pradesh
Uttar Pradesh East,2021,Apr-2021,Reliance Jio,31938287,86.99,149995,Uttar Pradesh
Uttar Pradesh East,2021,Apr-2021,Tata Tele.,,,7818,Uttar Pradesh
Uttar Pradesh East,2021,Apr-2021,Vodafone Idea,22362088,94.03,20460,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,BSNL,3529105.28206112,26.05786019646,85784.964370919,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,Bharti,,64.82451451748,,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,Bharti Airtel,,,33337.027401549,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,Bharti Airtel (including Tata Tele.),10413274.2261127,,,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,Reliance Com.,154.631715584,7.07923322908,4.832241112,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,Reliance Jio,12914454.3062867,46.4499176891,89494.917484657,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,Tata Tele.,,,2622.698863538,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,Vodafone Idea,11778522.475245,55.54057128105,4083.24373964,Uttar Pradesh
Uttar Pradesh West,2021,Apr-2021,BSNL,2313492.71793888,17.08213980354,56236.035629081,Uttarakhand
Uttar Pradesh West,2021,Apr-2021,Bharti,,42.49548548252,,Uttarakhand
Uttar Pradesh West,2021,Apr-2021,Bharti Airtel,,,21853.972598451,Uttarakhand
Uttar Pradesh West,2021,Apr-2021,Bharti Airtel (including Tata Tele.),6826385.77388726,,,Uttarakhand
Uttar Pradesh West,2021,Apr-2021,Reliance Com.,101.368284416,4.64076677092,3.167758888,Uttarakhand
Uttar Pradesh West,2021,Apr-2021,Reliance Jio,8466025.69371328,30.4500823109,58668.082515343,Uttarakhand
Uttar Pradesh West,2021,Apr-2021,Tata Tele.,,,1719.301136462,Uttarakhand
Uttar Pradesh West,2021,Apr-2021,Vodafone Idea,7721369.52475501,36.40942871895,2676.75626036,Uttarakhand
Kolkata,2021,Apr-2021,BSNL,2446659,43.8,311204,West Bengal
Kolkata,2021,Apr-2021,Bharti,,94.72,,West Bengal
Kolkata,2021,Apr-2021,Bharti Airtel,,,155743,West Bengal
Kolkata,2021,Apr-2021,Bharti Airtel (including Tata Tele.),5809009,,,West Bengal
Kolkata,2021,Apr-2021,Reliance Com.,27,,7651,West Bengal
